"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 04 07:55:01 UTC 2024","Thu Apr 04 07:55:16 UTC 2024","14497","","All functionality CAT","","","","Verify Signout functionality ",""
"passed","Thu Apr 04 07:54:53 UTC 2024","Thu Apr 04 07:54:59 UTC 2024","6184","","All functionality CAT","","","","Verify Profile Page functionality ",""
"passed","Thu Apr 04 07:54:35 UTC 2024","Thu Apr 04 07:54:42 UTC 2024","6907","","All functionality CAT","","","","Verify Signin functionality ",""
"passed","Thu Apr 04 07:54:44 UTC 2024","Thu Apr 04 07:54:51 UTC 2024","6877","","All functionality CAT","","","","Verify Homepage and HelpPage functionality ",""
